tweet_id,retweets,favorites
892420643555336193,8697,39117
892177421306343426,6386,33502
891815181378084864,4241,25250
891689557279858688,8798,42480
891327558926688256,9577,40637
891087950875897856,3178,20384
890971913173991426,2116,11950
890729181411237888,19276,66089
890609185150312448,4338,27988
890240255349198849,7566,32204
890006608113172480,7478,30872
889880896479866881,5061,27999
889665388333682689,10257,48363
889638837579907072,4632,27395
889531135344209921,2272,15219
889278841981685760,5546,25500
888917238123831296,4593,29316
888804989199671297,4447,25801
888554962724278272,3668,20096
888078434458587136,3583,21951
887705289381826560,5502,30441
887517139158093824,11886,46577
887473957103951883,18604,69687
887343217045368832,10597,33940
887101392804085760,6077,30808
886983233522544640,7924,35485
886736880519319552,3364,12184
886680336477933568,4551,22611
886366144734445568,3249,21296
886267009285017600,4,117
886258384151887873,6409,28199
886054160059072513,105,0
885984800019947520,6939,32995
885528943205470208,6561,36292
885518971528720385,3837,20583
885311592912609280,18930,0
885167619883638784,4459,22124
884925521741709313,18879,78215
884876753390489601,5963,28187
884562892145688576,5019,24511
884441805382717440,5766,27218
884247878851493888,20808,73571
884162670584377345,3048,20544
883838122936631299,3517,22082
883482846933004288,10184,46351
883360690899218434,3759,22735
883117836046086144,6804,37530
882992080364220416,4021,24142
882762694511734784,5016,28560
882627270321602560,6209,28101
882268110199369728,11834,45333
882045870035918850,5089,29594
881906580714921986,3454,24495
881666595344535552,10907,50985
881633300179243008,7,129
881536004380872706,16294,49857
881268444196462592,5250,23255
880935762899988482,2836,17148
880872448815771648,3909,21487
880465832366813184,6411,28760
880221127280381952,4329,27316
880095782870896641,4444,27842
879862464715927552,3574,22461
879674319642796034,10,314
879492040517615616,3256,23595
879415818425184262,45095,106806
879376492567855104,3178,16900
879130579576475649,7015,0
879050749262655488,4825,22777
879008229531029506,2748,19110
878776093423087618,4223,19536
878604707211726852,7413,30544
878404777348136964,1325,0
878316110768087041,6820,0
878281511006478336,1325,7829
878057613040115712,7015,42393
877736472329191424,19652,80734
877611172832227328,82,0
877556246731214848,3914,23007
877316821321428993,5313,27608
877201837425926144,5731,27388
876838120628539392,3448,20873
876537666061221889,4711,23612
876484053909872640,2466,18945
876120275196170240,4805,28155
875747767867523072,4402,25447
875144289856114688,5043,22132
875097192612077568,6210,27666
875021211251597312,4818,25732
874680097055178752,4764,28141
874434818259525634,15196,0
874296783580663808,4231,26331
874057562936811520,4059,22877
874012996292530176,10764,35067
873580283840344065,4049,24519
873337748698140672,1635,0
873213775632977920,1635,7366
872967104147763200,5561,27706
872820683541237760,3809,14877
872668790621863937,30,0
872620804844003328,3825,21056
872486979161796608,9254,41112
872261713294495745,6528,34680
872122724285648897,8377,34897
871879754684805121,11620,38613
871762521631449091,3590,20544
871515927908634625,3559,20503
871166179821445120,5881,0
871102520638267392,5661,21215
871032628920680449,3924,22992
870804317367881728,6442,34158
870726314365509632,3,120
870656317836468226,2755,12659
870374049280663552,27159,84003
870308999962521604,4300,22181
870063196459192321,8650,37310
869772420881756160,10445,43153
869702957897576449,6572,28756
869596645499047938,3256,16278
869227993411051520,3942,20846
868880397819494401,15068,66909
868639477480148993,2186,0
868622495443632128,6161,27942
868552278524837888,2186,10392
867900495410671616,4358,24682
867774946302451713,7643,34729
867421006826221569,2634,16535
867072653475098625,132,0
867051520902168576,8255,32995
866720684873056260,5064,20608
866686824827068416,3652,19825
866450705531457537,36867,124749
866334964761202691,15196,53969
866094527597207552,8769,0
865718153858494464,5881,26284
865359393868664832,5257,27185
865006731092295680,8069,28749
864873206498414592,9197,33234
864279568663928832,3214,15013
864197398364647424,9428,31027
863907417377173506,4357,21213
863553081350529029,4391,15730
863471782782697472,2620,0
863432100342583297,5559,24496
863427515083354112,103,2327
863079547188785154,1162,9007
863062471531167744,2620,8819
862831371563274240,5352,19767
862722525377298433,3735,17581
862457590147678208,5256,21206
862096992088072192,24643,77070
861383897657036800,11318,37258
861288531465048066,4414,17767
861005113778896900,4033,17292
860981674716409858,2286,0
860924035999428608,868,0
860563773140209665,2286,7765
860524505164394496,5586,24401
860276583193509888,3682,18924
860184849394610176,6200,17255
860177593139703809,32763,0
859924526012018688,4273,19777
859851578198683649,3719,15918
859607811541651456,1672,19246
859196978902773760,32197,93356
859074603037188101,14478,35129
858860390427611136,8652,0
858843525470990336,3697,16118
858471635011153920,5163,22324
858107933456039936,3102,16330
857989990357356544,2756,16739
857746408056729600,11309,35578
857393404942143489,1744,6147
857263160327368704,4836,20771
857214891891077121,20,240
857062103051644929,181,0
857029823797047296,4284,19666
856602993587888130,11430,0
856543823941562368,3082,16946
856526610513747968,2018,12307
856330835276025856,722,0
856288084350160898,17,536
856282028240666624,6735,28759
855862651834028034,28,361
855860136149123072,1104,4998
855857698524602368,2273,12344
855851453814013952,18902,47286
855818117272018944,5843,27726
855459453768019968,8849,31277
855245323840757760,6440,0
855138241867124737,49,0
854732716440526848,6562,23900
854482394044301312,7440,30710
854365224396361728,5066,19776
854120357044912130,8129,33449
854010172552949760,3387,16954
853760880890318849,6275,30042
853639147608842240,11039,36675
853299958564483072,3860,16315
852936405516943360,2190,0
852912242202992640,2000,9499
852672615818899456,2333,15710
852553447878664193,3817,17264
852311364735569921,10774,34891
852226086759018497,7432,21084
852189679701164033,1717,12076
851953902622658560,10498,0
851861385021730816,23,0
851591660324737024,3771,17101
851464819735769094,7710,25630
851224888060895234,6243,21828
850753642995093505,10166,32899
850380195714523136,2856,13814
850333567704068097,363,3605
850145622816686080,4172,17300
850019790995546112,5364,21665
849776966551130114,8332,32297
849668094696017920,5425,0
849412302885593088,3431,16833
849336543269576704,2068,12108
849051919805034497,9314,44543
848690551926992896,4736,26759
848324959059550208,5045,26295
848213670039564288,818,8700
848212111729840128,3379,17376
847978865427394560,3582,0
847971574464610304,471,0
847962785489326080,5641,24972
847842811428974592,1486,5851
847617282490613760,459,7457
847606175596138505,3707,19933
847251039262605312,4710,21723
847157206088847362,6447,21276
847116187444137987,3513,22804
846874817362120707,4330,21397
846514051647705089,12807,47697
846505985330044928,3417,15092
846153765933735936,10010,33899
846139713627017216,10789,32825
846042936437604353,3171,17060
845812042753855489,9673,31266
845677943972139009,5268,26793
845459076796616705,14763,0
845397057150107648,2026,8137
845306882940190720,5941,24918
845098359547420673,8485,0
844979544864018432,2855,14547
844973813909606400,3547,16160
844704788403113984,11430,41413
844580511645339650,3466,17617
844223788422217728,2419,14574
843981021012017153,3223,16135
843856843873095681,5132,22904
843604394117681152,3027,18080
843235543001513987,6718,23019
842846295480000512,3947,16258
842765311967449089,1417,7228
842535590457499648,3865,19369
842163532590374912,6440,26245
842115215311396866,3335,15021
841833993020538882,17108,0
841680585030541313,8599,27486
841439858740625411,4092,13569
841320156043304961,6004,21153
841314665196081154,5221,17044
841077006473256960,5881,24588
840761248237133825,1944,0
840728873075638272,17955,0
840698636975636481,3,195
840696689258311684,1097,13214
840632337062862849,1944,9645
840370681858686976,5062,17689
840268004936019968,6372,20696
839990271299457024,2549,14435
839549326359670784,8652,29588
839290600511926273,157,0
839239871831150596,7295,29266
838952994649550848,4436,21080
838921590096166913,2309,12027
838916489579200512,37,0
838831947270979586,12362,0
838561493054533637,1478,11743
838476387338051585,5380,24329
838201503651401729,11277,0
838150277551247360,361,1804
838085839343206401,0,149
838083903487373313,3508,18957
837820167694528512,8769,36835
837482249356513284,490,4148
837471256429613056,2575,13804
837366284874571778,5909,22750
837110210464448512,2685,17255
836989968035819520,2563,13704
836753516572119041,5150,20740
836677758902222849,2474,13586
836648853927522308,615,0
836397794269200385,30762,0
836380477523124226,3284,15861
836260088725786625,4776,22895
836001077879255040,4836,20623
835685285446955009,9156,0
835574547218894849,4059,19200
835536468978302976,1899,0
835309094223372289,23536,0
835297930240217089,3335,17653
835264098648616962,1899,8377
835246439529840640,81,2239
835172783151792128,6423,28173
835152434251116546,3387,24231
834931633769889797,1846,11690
834786237630337024,6077,22703
834574053763584002,2832,14807
834477809192075265,11954,0
834458053273591808,1869,10388
834209720923721728,5374,22273
834167344700198914,4063,16985
834089966724603904,2382,10846
834086379323871233,2475,14113
833863086058651648,2683,14471
833826103416520705,3848,16545
833732339549220864,244,0
833722901757046785,3578,22327
833479644947025920,2309,16060
833124694597443584,5425,21861
832998151111966721,2487,14384
832769181346996225,44,0
832757312314028032,4048,18207
832682457690300417,3308,12855
832645525019123713,581,3148
832636094638288896,3153,17161
832397543355072512,2497,12951
832369877331693569,3582,18558
832273440279240704,2613,12225
832215909146226688,6931,0
832215726631055365,10493,0
832088576586297345,2,72
832040443403784192,10902,0
832032802820481025,5228,19320
831939777352105988,6893,25996
831926988323639298,37,368
831911600680497154,7317,29961
831670449226514432,2031,11323
831650051525054464,2190,7781
831552930092285952,2570,9752
831322785565769729,1714,9934
831315979191906304,1246,7026
831309418084069378,2730,12672
831262627380748289,2307,12905
830956169170665475,1699,8630
830583320585068544,18930,72513
830173239259324417,6414,0
830097400375152640,3384,10664
829878982036299777,5641,0
829861396166877184,2205,13282
829501995190984704,11954,34432
829449946868879360,2289,11387
829374341691346946,10498,37623
829141528400556032,8350,26616
829011960981237760,18253,57497
828801551087042563,3828,0
828770345708580865,6616,27748
828708714936930305,12621,39744
828650029636317184,1511,10338
828409743546925057,1288,6825
828408677031882754,1441,8299
828381636999917570,2494,13706
828376505180889089,1191,8024
828372645993398273,3284,13593
828361771580813312,192,2379
828046555563323392,3209,12790
828011680017821696,2404,11251
827933404142436356,5883,21910
827653905312006145,3373,16781
827600520311402496,1060,8056
827324948884643840,3436,17266
827199976799354881,2523,11515
826958653328592898,5641,23465
826848821049180160,11597,39781
826615380357632002,4438,0
826598799820865537,288,5565
826598365270007810,2649,10963
826476773533745153,4730,20028
826240494070030336,2921,14433
826204788643753985,1058,5289
826115272272650244,3540,17081
825876512159186944,2107,11378
825829644528148480,2807,13859
825535076884762624,19402,56624
825147591692263424,5163,19948
825120256414846976,1453,0
825026590719483904,1453,6926
824796380199809024,6190,0
824775126675836928,3983,16307
824663926340194305,1958,10971
824325613288833024,11683,12826
824297048279236611,4372,16387
824025158776213504,671,5197
823939628516474880,3063,11604
823719002937630720,12728,0
823699002998870016,2723,13683
823581115634085888,2991,14212
823333489516937216,30,764
823322678127919110,4550,17196
823269594223824897,11167,0
822975315408461824,3887,18887
822872901745569793,49733,144168
822859134160621569,2579,14410
822647212903690241,7245,0
822610361945911296,3351,16119
822489057087389700,7245,19822
822462944365645825,16773,31330
822244816520155136,11167,38317
822163064745328640,5458,0
821886076407029760,2646,12411
821813639212650496,3770,0
821765923262631936,1873,9215
821522889702862852,1998,8764
821421320206483457,6336,0
821407182352777218,4945,12899
821153421864615936,10,275
821149554670182400,2275,9567
821107785811234820,2420,10504
821044531881721856,2587,13842
820837357901512704,7586,0
820749716845686786,11277,34535
820690176645140481,3650,13370
820494788566847489,639,0
820446719150292993,2924,0
820314633777061888,639,3659
820078625395449857,7117,21672
820013781606658049,1338,0
819952236453363712,1338,5836
819924195358416896,5499,14084
819711362133872643,3549,14716
819588359383371776,2227,10471
819347104292290561,1360,7910
819238181065359361,454,2512
819227688460238848,7586,25290
819015337530290176,41455,0
819015331746349057,21393,0
819006400881917954,21393,49333
819004803107983360,41455,94321
818646164899774465,23635,0
818627210458333184,8422,24288
818614493328580609,2926,10821
818588835076603904,6990,0
818536468981415936,2808,11975
818307523543449600,9202,0
818259473185828864,2577,12045
818145370475810820,2946,13490
817908911860748288,894,5291
817827839487737858,30762,56855
817777686764523521,3026,11732
817536400337801217,3444,12941
817502432452313088,3848,0
817423860136083457,17108,37644
817415592588222464,1097,6163
817181837579653120,9689,0
817171292965273600,2279,9561
817120970343411712,2960,13216
817056546584727552,1878,9397
816829038950027264,5377,0
816816676327063552,2317,10949
816697700272001025,2494,10767
816450570814898180,9202,33545
816336735214911488,2226,9440
816091915477250048,2451,9794
816062466425819140,1184,0
816014286006976512,6047,0
815990720817401858,1184,5478
815966073409433600,9689,24710
815745968457060357,4696,0
815736392542261248,2576,10793
815639385530101762,1872,9047
815390420867969024,4318,11331
814986499976527872,1477,8377
814638523311648768,3076,12376
814578408554463233,6637,0
814530161257443328,2109,9521
814153002265309185,9897,31578
813944609378369540,3672,0
813910438903693312,2144,10205
813812741911748608,15957,39864
813800681631023104,2012,9176
813217897535406080,8294,20517
813202720496779264,2051,10071
813187593374461952,4964,21791
813172488309972993,2188,10260
813157409116065792,2514,8481
813142292504645637,2673,9240
813130366689148928,501,4897
813127251579564032,3578,13060
813112105746448384,3153,11358
813096984823349248,4122,11543
813081950185472002,3152,10842
813066809284972545,2219,8743
813051746834595840,8326,23001
812781120811126785,2168,8304
812747805718642688,7927,0
812709060537683968,1638,7286
812503143955202048,1397,6701
812466873996607488,2189,8795
812372279581671427,4184,15046
811985624773361665,1599,7996
811744202451197953,1836,8304
811647686436880384,844,6121
811627233043480576,3576,14086
811386762094317568,7289,22976
810984652412424192,1624,5866
810896069567610880,2040,9962
810657578271330305,3006,12051
810284430598270976,13066,39070
810254108431155201,3828,16162
809920764300447744,4438,17026
809808892968534016,5592,0
809448704142938112,1670,7622
809220051211603969,6414,21936
809084759137812480,3985,14508
808838249661788160,3461,11117
808733504066486276,2463,8690
808501579447930884,2952,12415
808344865868283904,23635,46707
808134635716833280,6817,0
808106460588765185,2477,9590
808001312164028416,4019,13820
807621403335917568,4196,16049
807106840509214720,61854,123821
807059379405148160,8359,0
807010152071229440,4343,14343
806629075125202948,39981,82887
806620845233815552,6291,0
806576416489959424,2196,5309
806542213899489280,2711,11233
806242860592926720,13337,0
806219024703037440,1368,7050
805958939288408065,6119,0
805932879469572096,2167,9100
805826884734976000,2087,7245
805823200554876929,9200,0
805520635690676224,1884,6300
805487436403003392,2882,9655
805207613751304193,1928,8568
804738756058218496,4386,15136
804475857670639616,2305,6784
804413760345620481,3662,0
804026241225523202,18529,49153
803773340896923648,3157,11072
803692223237865472,8510,0
803638050916102144,4731,12102
803380650405482500,2127,8519
803321560782307329,6095,0
803276597545603072,2817,11062
802952499103731712,2284,9960
802624713319034886,3338,0
802600418706604034,1675,7853
802572683846291456,2865,9843
802323869084381190,6674,17888
802265048156610565,1546,6949
802239329049477120,2983,9986
802185808107208704,309,0
801958328846974976,1950,8496
801854953262350336,267,1933
801538201127157760,2346,9030
801285448605831168,943,6695
801167903437357056,6817,27033
801127390143516673,4543,0
801115127852503040,2378,8894
800859414831898624,111,768
800855607700029440,1859,0
800751577355128832,3159,11566
800513324630806528,3427,14493
800459316964663297,2443,10407
800443802682937345,4941,0
800388270626521089,3191,12289
800188575492947969,4495,0
800141422401830912,2924,16867
800018252395122689,15056,31338
799774291445383169,5371,0
799757965289017345,2463,9277
799422933579902976,2178,8852
799308762079035393,6341,0
799297110730567681,3172,10925
799063482566066176,2810,8932
798933969379225600,5105,14523
798925684722855936,1639,8183
798705661114773508,7550,0
798701998996647937,8932,0
798697898615730177,7453,0
798694562394996736,5698,0
798686750113755136,2654,0
798682547630837760,5418,0
798673117451325440,6371,0
798665375516884993,4441,0
798644042770751489,2112,0
798628517273620480,2237,0
798585098161549313,6521,0
798576900688019456,6747,0
798340744599797760,3847,0
798209839306514432,2907,11421
797971864723324932,3590,12857
797545162159308800,5536,16011
797236660651966464,7570,22057
797165961484890113,32,254
796904159865868288,10212,0
796865951799083009,2162,8451
796759840936919040,3505,13099
796563435802726400,8364,0
796484825502875648,2013,8370
796387464403357696,4753,12166
796177847564038144,16346,0
796149749086875649,16346,35722
796125600683540480,2041,5459
796116448414461957,2762,10019
796080075804475393,2639,9325
796031486298386433,4221,11915
795464331001561088,27230,55018
795400264262053889,3265,11153
795076730285391872,6190,17907
794983741416415232,3853,0
794926597468000259,2647,11342
794355576146903043,11780,0
794332329137291264,3025,10553
794205286408003585,3808,10171
793962221541933056,5592,18609
793845145112371200,2142,10161
793614319594401792,3587,0
793601777308463104,1869,8810
793500921481273345,2722,11793
793286476301799424,10493,27196
793271401113350145,2695,9540
793256262322548741,9523,22050
793241302385262592,3740,11629
793226087023144960,3274,10856
793210959003287553,3232,9864
793195938047070209,6411,16850
793180763617361921,2264,7631
793165685325201412,3183,10371
793150605191548928,1955,6808
793135492858580992,2840,7121
793120401413079041,4472,14005
792913359805018113,4619,15839
792883833364439040,4883,12480
792773781206999040,1922,8101
792394556390137856,4903,14918
792050063153438720,2049,7929
791821351946420224,24067,0
791784077045166082,11057,0
791780927877898241,4350,0
791774931465953280,25378,49711
791672322847637504,3587,12967
791406955684368384,4696,14489
791312159183634433,2902,9706
791026214425268224,4723,0
790987426131050500,2435,10930
790946055508652032,5377,18326
790723298204217344,2651,0
790698755171364864,2167,9059
790581949425475584,8172,22830
790337589677002753,2133,8640
790277117346975746,3672,13861
790227638568808452,4104,0
789986466051088384,2651,10233
789960241177853952,4751,0
789903600034189313,4729,11469
789628658055020548,2035,8326
789599242079838210,2223,7505
789530877013393408,3853,12983
789314372632018944,2625,9499
789280767834746880,5636,0
789268448748703744,2956,10066
789137962068021249,3185,10716
788908386943430656,14170,30206
788765914992902144,11780,30297
788552643979468800,8242,0
788412144018661376,6065,17226
788178268662984705,2437,7987
788150585577050112,1486,6788
788070120937619456,3890,0
788039637453406209,1507,6772
787810552592695296,3485,9589
787717603741622272,3177,11273
787397959788929025,3229,11952
787322443945877504,1992,8599
787111942498508800,7639,0
786963064373534720,9156,29307
786729988674449408,2766,0
786709082849828864,6931,20035
786664955043049472,2939,11779
786595970293370880,3534,10367
786363235746385920,3997,12022
786286427768250368,3270,8806
786233965241827333,5458,16928
786051337297522688,176,1592
786036967502913536,8052,0
785927819176054784,3585,12528
785872687017132033,2083,7369
785639753186217984,2522,8603
785533386513321988,2296,10052
785515384317313025,1445,6717
785264754247995392,1868,8020
785170936622350336,5542,13332
784826020293709826,3662,11173
784517518371221505,2892,9888
784431430411685888,1457,6253
784183165795655680,9200,22173
784057939640352768,12728,32976
783839966405230592,12362,33191
783821107061198850,2234,8109
783695101801398276,3663,11495
783466772167098368,2562,9344
783391753726550016,6297,18635
783347506784731136,6403,0
783334639985389568,13337,32200
783085703974514689,2516,8969
782969140009107456,8359,26589
782747134529531904,1576,8210
782722598790725632,6119,19003
782598640137187329,2145,8585
782305867769217024,6336,18362
782021823840026624,7113,0
781955203444699136,3836,12202
781661882474196992,3080,11483
781655249211752448,1269,4402
781524693396357120,6291,22857
781308096455073793,2900,7860
781251288990355457,2392,9309
781163403222056960,3097,10740
780931614150983680,8364,23832
780858289093574656,2267,7915
780800785462489090,1470,6069
780601303617732608,3770,13319
780543529827336192,1976,6944
780496263422808064,4242,0
780476555013349377,133,0
780459368902959104,1204,5807
780192070812196864,2535,9581
780092040432480260,2608,0
780074436359819264,5683,13513
779834332596887552,8052,20956
779377524342161408,3537,9706
779124354206535695,20917,0
779123168116150273,4143,12989
779056095788752897,5130,16260
778990705243029504,8281,22015
778774459159379968,11325,0
778764940568104960,415,946
778748913645780993,1524,7596
778650543019483137,1695,6352
778624900596654080,1143,5115
778408200802557953,4926,14964
778396591732486144,13918,0
778383385161035776,1250,6430
778286810187399168,3762,11413
778039087836069888,2998,9312
778027034220126208,1845,7217
777953400541634568,4002,0
777885040357281792,1858,6982
777684233540206592,3338,12349
777641927919427584,4840,0
777621514455814149,2831,9615
777189768882946048,4912,15726
776819012571455488,15567,0
776813020089548800,1376,5367
776477788987613185,3183,9749
776249906839351296,10426,0
776218204058357768,18139,32925
776201521193218049,2856,10537
